id,cluster
282853290,7
320574929,5
180769611,2
242192464,7
330756108,5
986173124,8
728666492,3
886209024,1
181123475,2
169411445,2
548451547,4
256239379,7
990153631,8
94479625,6
418310289,0
671810085,9
486899962,0
803932768,1
210707495,7
7873060,6
720060228,3
655371307,9
493452935,0
523244424,4
415358021,0
672761046,9
122437380,2
429351372,0
19659162,6
238258789,7
749755668,3
694460177,9
331063465,5
242823521,7
71095484,6
170102065,2
159737569,2
327911178,5
210838959,7
840570068,1
672126022,9
660733442,9
427542134,0
2107085,6
694318409,9
110789370,2
427078787,0
134372035,2
88497174,6
622643185,9
91124521,6
699591212,9
489430293,0
245206079,7
65174505,6
943615139,8
339113592,5
121533669,2
270046357,7
762996856,3
866043797,1
871775566,1
901527262,8
135434429,2
160635258,2
14580783,6
805914299,1
596318030,4
657577723,9
181645711,2
923902169,8
988097766,8
581271373,4
469834538,0
723589698,3
435641112,0
696158558,9
144025507,2
187696310,2
202331965,7
420935188,0
132257767,2
105256774,2
258266459,7
720529350,3
40663063,6
795369701,3
344694866,5
164249372,2
369555276,5
52241786,6
486839579,0
611816348,9
311474867,5
342455226,5
586697737,4
563411983,4
171301507,2
250960263,7
912349605,8
757771540,3
897246084,1
607352787,9
228969790,7
791533644,3
190963505,2
658641100,9
849950003,1
78631857,6
319652171,5
940004519,8
186538650,2
163081175,2
576269156,4
866894302,1
220435639,7
391492972,5
992907626,8
582539310,4
56942673,6
720086459,3
645149093,9
931564261,8
2598950,6
924559443,8
302746507,5
829268623,1
256954771,7
558182778,4
235926947,7
804670447,1
239601414,7
30330558,6
390427830,5
727060626,3
824390654,1
771865036,3
870870816,1
487369914,0
358717760,5
479895849,0
152225374,2
546523338,4
2232503,6
163704498,2
298836614,7
401531214,5
577713463,4
913403670,8
522337841,4
497223808,0
687994451,9
759932978,3
800203645,3
823967258,1
33566834,6
693201380,9
626357874,9
214375079,7
531913002,4
289221142,7
365862009,5
533297854,4
285182149,7
104352148,2
634673037,9
279987391,7
590632751,4
801475149,3
751544492,3
666832955,9
770983968,3
926038192,8
43797361,6
971254424,8
863901292,1
795858147,3
782365017,3
986939445,8
278846704,7
11825960,6
467966973,0
994908050,8
221854082,7
713233861,3
772243516,3
424379716,0
84583617,6
804578094,1
121801172,2
666305806,9
934543312,8
135018926,2
787110017,3
883004946,1
764299361,3
866654635,1
467090135,0
639952647,9
164586503,2
499260597,0
943453114,8
342087379,5
320992808,5
771504756,3
869621794,1
599831681,4
522883663,4
402465034,5
612981823,9
828456722,1
873371607,1
776492861,3
327659575,5
614070590,9
962983967,8
297386782,7
937905476,8
24865396,6
352841783,5
753016679,3
822294719,1
126627695,2
28620954,6
958921669,8
204956054,7
804807130,1
795959843,3
899782346,1
501758775,0
324689489,5
99782173,2
407537498,0
32973593,6
506319317,4
45712235,6
816665622,1
195885465,2
495940144,0
867070753,1
644154253,9
494348979,0
827400050,1
557251534,4
477638270,0
507144525,4
556513942,4
683630959,9
488203930,0
309833586,5
383536564,5
575558720,4
560821265,4
338041511,5
421761617,0
226937364,7
574852890,4
823291022,1
518562251,4
486021873,0
944343941,8
113308538,2
522128712,4
777986995,3
469523163,0
166004254,2
5545131,6
99841313,2
606603879,9
530758786,4
200199199,7
381469320,5
412106188,0
359389389,5
196287316,2
167898253,2
195601192,2
146466189,2
601238047,4
121734412,2
677328612,9
842047120,1
996572071,8
852503273,1
832323391,1
638017277,9
894869561,1
101993873,2
19773351,6
188727364,2
6642344,6
340544603,5
739462242,3
798024604,3
814639842,1
637904332,9
370892319,5
235272885,7
712417165,3
69601769,6
240888872,7
600931796,4
998947098,8
659840452,9
666497691,9
638038799,9
455862518,0
832514583,1
790259053,3
587371121,4
229294868,7
496080120,0
570127086,4
213024364,7
608294570,9
139769840,2
626605903,9
257655587,7
693815229,9
875597930,1
391379134,5
21810324,6
468954622,0
717309659,3
927588763,8
480981728,0
801519463,3
378457454,5
909583328,8
591713198,4
705407372,3
512333886,4
620979748,9
355760424,5
220812115,7
804877079,1
536931961,4
757835383,3
140681953,2
783519349,3
103205009,2
717190426,3
600719717,4
250038990,7
789379337,3
483966006,0
355236766,5
160712073,2
114951470,2
725939477,3
443827670,0
777877097,3
519731243,4
665688272,9
467523990,0
588692748,4
604035687,9
370037904,5
90707644,6
283441835,7
515114845,4
44379157,6
767280399,3
34549055,6
685350806,9
115943718,2
689692933,9
248422203,7
285126891,7
436519664,0
432747187,0
421468196,0
392649105,5
191874156,2
161571824,2
571746886,4
803912428,1
216282808,7
530652218,4
743224721,3
494910297,0
453670580,0
226229108,7
118624297,2
877152702,1
774920277,3
582221100,4
8412703,6
965062539,8
329418109,5
711981551,3
108924147,2
773908440,3
24302749,6
517690752,4
636993395,9
737664110,3
732453886,3
104084760,2
786826041,3
958353929,8
469706487,0
161315135,2
429582168,0
212268843,7
349188520,5
305352754,5
494017147,0
961378548,8
604774439,9
29337355,6
701986682,9
96675030,6
541519492,4
849162402,1
875277107,1
902229717,8
664820868,9
310219106,5
801885868,3
846048319,1
308845780,5
513369280,4
491021862,0
445903687,0
137071235,2
647329972,9
870940260,1
425415581,0
920926048,8
872814878,1
76119441,6
131149761,2
787492044,3
42973005,6
173509022,2
896342521,1
186941609,2
638818120,9
945225480,8
916642399,8
60195651,6
764417699,3
961309669,8
734644724,3
690104751,9
89578711,6
68721830,6
554896226,4
89307877,6
47024862,6
197872085,7
421277005,0
